Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0402_1005Metric,151.58,-99.79,180.0,bottom
C2,2.2uF,C_0402_1005Metric,151.57,-100.77,0.0,bottom
C3,100pF,C_0402_1005Metric,151.56,-97.39,0.0,bottom
C4,2.2uF,C_0402_1005Metric,151.56,-98.37,0.0,bottom
C5,100pF,C_0402_1005Metric,148.45,-96.61,0.0,bottom
C6,2.2uF,C_0402_1005Metric,148.45,-97.6,0.0,bottom
C7,100nF,C_0402_1005Metric,135.18,-94.19,90.0,bottom
J1,Conn_01x06,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH15,137.39,-96.4075,0.0,bottom
R1,4.7k,R_0603_1608Metric,137.53,-90.15,180.0,bottom
R2,4.7k,R_0603_1608Metric,137.43,-93.33,180.0,bottom
R3,4.7k,R_0603_1608Metric,137.53,-91.76,180.0,bottom
U1,IQS7211E001QNR,UQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,148.005025,-100.343654,225.0,bottom
